state,district,ncesid,id_online,standardadoption,books,createdon,earliestgradeadopted,oldestgradeadopted,yearadopted,edition,isbn,Online_CCD,Online_Mergedin,NSF_OnlMrgIn,tagdist,_merge
Illinois,CHSD,-99,22334,Yes,[Science] - Animals by Pearson,9/23/15 9:58,HS-all-grades,HS-all-grades,2002-03,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Unit District,-99,55389,Yes,[Math]_My Math,1/5/16 8:48,K,5,2014-15,Common Core,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,CHSD,-99,22334,Yes,[Math] - Single Variable Calculus: Early Transcendentals by Cengage,9/23/15 9:58,11,12,2009-10,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,CHSD,-99,22334,Yes,[Science] - Astronomy by Pearson,9/23/15 9:58,10,12,2002-03,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,elementary,-99,14191,No,Glencoe Science,8/3/15 4:53,5,8,1999-2000_or_earlier,National,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Unit District,-99,55389,Yes,Biology - Glencoe,1/5/16 8:48,9,,2007-08,Illinois,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,CHSD,-99,22334,Yes,[Science] - Weather And Climate by Pearson,9/23/15 9:58,10,12,2002-03,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,CHSD,-99,22334,Yes,[Science] - Chemical Building Blocks by Pearson,9/23/15 9:58,10,12,2002-03,No edition/not applicable,,master only (1),using only (2),using only (2),1,master only (1)
Illinois,Unit District,-99,55393,Yes,Physical Science - Prentice Hall,1/5/16 11:33,9,9,2006-07,National,,master only (1),using only (2),using only (2),1,master only (1)
Illinois,Unit District,-99,55393,Yes,Algebra Concepts/Basic Algebra,1/5/16 11:33,9,9,1999-2000_or_earlier,National,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Elementary,-99,14281,Yes,Engage New York-Math,8/9/15 9:56,K,8,2014-15,No edition/not applicable,,master only (1),using only (2),using only (2),1,master only (1)
Illinois,CHSD,-99,22334,Yes,[Math] - Calculus of A Single Variable by Cengage,9/23/15 9:58,11,12,2002-03,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Regional Alternative School,-99,17316,No,Glencoe,8/27/15 7:41,9,12,2003-04,Other/don't know,,master only (1),using only (2),using only (2),1,master only (1)
Illinois,CHSD,-99,22334,Yes,[Science] - Environmental Science by Pearson,9/23/15 9:58,HS-all-grades,HS-all-grades,2002-03,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Unit District,-99,55389,Yes,Scott Foresman Science,1/5/16 8:48,2,2,1999-2000_or_earlier,National,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Elementary,-99,14281,Yes,Harcourt- Science,8/9/15 9:56,2,6,2000-01,Other/don't know,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Unit District,-99,55389,Yes,Prentice Hall - Science Explorer,1/5/16 8:48,8,8,2004-05,National,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Unit District,-99,55393,Yes,Algebra II/Trig - McDougal Lattell Houghton Mifflin,1/5/16 11:33,10,12,1999-2000_or_earlier,National,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,CHSD,-99,22334,Yes,[Science] - Principles Of Anatomy & Physiology by Wiley,9/23/15 9:58,11,12,2000-01,No edition/not applicable,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,Unit District,-99,55389,Yes,Chemistry Matter and Change - Glencoe,1/5/16 8:48,11,12,2008-09,National,,master only (1),using only (2),using only (2),0,master only (1)
Illinois,High School,-99,14192,Yes,Lial/Hornsby/Schneider Trigonometry 8th Edition,8/3/15 5:20,11,12,2009-10,Other/don't know,,master only (1),using only (2),using only (2),1,master only (1)
