bookcode1415,Publisher1415,ActualTitle1415,Subject1415,CA1415,CCSS1415,digital1415,Lograde1415,higrade1415
0,No Textbooks Used,No Textbooks Used,,0,0,0,0,12
1,Addison Wesley,Calculus,Calculus,0,0,0,9,12
2,Addison Wesley,Calculus and its Applications,Calculus,0,0,0,9,12
3,Addison Wesley,Calculus: A Complete Course,Calculus,0,0,0,9,12
4,Addison Wesley,College Algebra,Algebra,0,0,0,9,12
5,Addison Wesley,Elementary and Intermediate Algebra Concepts and Applications,Algebra,0,0,0,9,12
6,Addison Wesley,Essentials of Statistics,Statistics,0,0,0,9,12
7,Addison Wesley,Foundations of Algebra and Geometry,Algebra,0,0,0,9,12
8,Addison Wesley,Intermediate Algebra,Algebra,0,0,0,9,12
9,Addison Wesley,Math Makes Sense,,0,0,0,0,8
10,Addison Wesley,Trigonometry,Trigonometry,0,0,0,9,12
11,Agile Mind,Common Core Algebra 1 Mathematics,Algebra,0,1,1,6,8
12,Agile Mind,Common Core Middle School Mathematics,Middle School,0,1,1,6,8
13,ALEKS,Algebra 1A,Algebra,0,0,1,6,8
14,ALEKS,Algebra 1B,Algebra,0,0,1,6,8
15,ALEKS,California Algebra 1A,Algebra,1,0,1,6,8
16,ALEKS,California Algebra 1B,Algebra,1,0,1,6,8
17,ALEKS,Essential Mathematics,,0,0,1,6,8
18,ALEKS,Traditional Algebra 1,Algebra,0,0,1,6,8
19,ALEKS,Traditional Algebra 1A,Algebra,0,0,1,6,8
20,ALEKS,Traditional Algebra 1B,Algebra,0,0,1,6,8
21,ALEKS,TX Algebra 1,Algebra,0,0,1,6,8
22,American Book Company (ABC),California Common Core Mathematics,,1,1,0,0,8
23,American Book Company (ABC),California Integrated Math,,1,0,0,9,12
24,American Book Company (ABC),California Mathematics Review,,1,0,0,9,12
25,American Book Company (ABC),Passing the CAHSEE,CAHSEE,1,0,0,9,12
26,American Guidance Service (AGS) ,Algebra,Algebra,0,0,0,6,8
27,American Guidance Service (AGS) ,Algebra 2,Algebra,0,0,0,9,12
28,American Guidance Service (AGS) ,Basic Math Skills,,0,0,0,9,12
29,American Guidance Service (AGS) ,Consumer Mathematics,,0,0,0,9,12
30,American Guidance Service (AGS) ,Geometry,Geometry,0,0,0,9,12
31,American Guidance Service (AGS) ,Life Skills Mathematics,,0,0,0,9,12
32,American Guidance Service (AGS) ,Math for the World of Work,,0,0,0,9,12
33,American Guidance Service (AGS) ,Pre-Algebra,Pre-algebra,0,0,0,6,8
34,"America's Choice, Inc",Ramp-Up to Algebra,Algebra,0,0,0,6,8
35,AnsMar Publishers,Excel Math,,0,0,0,0,6
36,AnsMar Publishers,Excel Math Common Core,,0,1,0,0,6
37,"Beford, Freeman, and Worth (BFW)",The Practice of Statistics (for the AP exam),Statistics,0,0,0,9,12
38,big Ideas Learning,Big Ideas Math Course 1,Middle School (6-8),0,0,0,6,8
39,big Ideas Learning,Big Ideas Math Course 2,Middle School (6-8),0,0,0,6,8
40,big Ideas Learning,Big Ideas Math Course 3,Middle School (6-8),0,0,0,6,8
41,big Ideas Learning,Math Advanced 1: A Common Core Curriculum,,0,1,0,6,8
42,big Ideas Learning,Math Advanced 2: A Common Core Curriculum,,0,1,0,6,8
43,big Ideas Learning,Math Advanced 3: A Common Core Curriculum,Algebra,0,1,0,6,8
44,big Ideas Learning,Math Course 1: A Common Core Curriculum,,0,1,0,6,8
45,big Ideas Learning,Math Course 2 Accelerated: A Common Core Curriculum,,0,1,0,6,8
46,big Ideas Learning,Math Algebra 1: A Common Core Curriculum,Algebra,0,1,0,6,8
47,big Ideas Learning,Math Course 1: A Common Core Curriculum,,0,1,0,6,8
48,big Ideas Learning,Math Course 2: A Common Core Curriculum,,0,1,0,6,8
49,big Ideas Learning,Math Course 3: A Common Core Curriculum,,0,1,0,6,8
50,big Ideas Learning,Big Ideas Advanced 1,Middle School (6-8),0,0,0,6,8
51,big Ideas Learning,Big Ideas Advanced 2,Middle School (6-8),0,0,0,6,8
52,big Ideas learning,Big Ideas Algebra 2,Algebra,0,1,0,6,8
54,Pearson Prentice Hall,Precalculus,precalculus,0,0,0,9,12
55,Borenson and Associates,Hands-on Equations,,0,0,0,3,8
56,Brooks Cole,Calculus of a Single Variable,Calculus,0,0,0,9,12
57,Brooks Cole,Calculus of a Single Variable: Early Transcendental Functions,Calculus,0,0,0,9,12
58,Brooks Cole,Contemporary precalculus: A Graphing Approach,precalculus,0,0,0,9,12
59,Brooks Cole,Early Transcendentals Calculus,Calculus,0,0,0,9,12
60,Brooks Cole,Trigonometry,Trigonometry,0,0,0,9,12
61,brooks cole,Calculus: Concepts and Contexts,Calculus,0,0,0,9,12
62,brooks cole,Precalculus Functions and Graphs: A Graphing Approach,precalculus,0,0,0,9,12
63,brooks cole,Precalculus: Mathematics for Calculus,precalculus,0,0,0,9,12
64,Cambridge University Press,Mathematical Studies Standard Level for the IB Diploma,IB Diploma,0,0,0,9,12
65,Carnegie Learning,Algebra 1,Algebra,0,1,1,6,8
66,Carnegie Learning,Geometry,Geometry,0,1,1,9,12
67,Carnegie Learning,Algebra 2,Algebra,0,1,1,9,12
68,Carnegie Learning,"Integrated Math, Course 1, A Common Core Math Program",,0,1,1,9,12
69,Carnegie Learning,"Integrated Math, Course 2, A Common Core Math Program",,0,1,1,9,12
70,Carnegie Learning,"Integrated Math, Course 3, A Common Core Math Program",,0,1,1,9,12
71,Carnegie Learning,Math Series Course 1,Middle School (6-8),0,1,1,6,8
72,Carnegie Learning,Math Series Course 2,Middle School (6-8),0,1,1,6,8
73,Carnegie Learning,Math Series Course 3,Middle School (6-8),0,1,1,6,8
74,Cengage Learning,Algebra and Trigonometry: A Graphing Approach ,Algebra,0,0,0,9,12
75,Cengage Learning,Calculus,Calculus,0,0,0,9,12
76,Cengage Learning,Fast Track to a 5: Preparing for the AP Calculus AB and Calculus BC Examination,Calculus,0,0,0,9,12
77,Cengage Learning,Finite Mathematics,Finite Math,0,0,0,9,12
78,Cengage Learning,Finite Mathematics,Finite Math,0,0,0,9,12
79,Cengage Learning,Intermediate Algebra,Algebra,0,0,0,6,8
80,Cengage Learning,Personal Finance,,0,0,0,9,12
81,Cengage Learning,Precalculus: Functions and Graphs,precalculus,0,0,0,9,12
